ip,status
1.37.18.141,dead
1.37.18.142,dead
1.37.18.145,dead
1.37.18.146,dead
1.37.18.153,dead
1.37.18.154,dead
1.37.18.161,dead
1.37.18.162,dead
1.37.18.178,dead
1.37.18.181,dead
1.37.18.182,dead
1.37.18.201,dead
1.37.18.202,dead
1.37.18.205,dead
1.37.18.206,dead
1.37.18.210,dead
1.37.18.213,dead
1.37.18.214,dead
1.37.18.225,dead
1.37.18.226,dead
1.37.18.233,dead
1.37.18.237,dead
1.37.18.238,dead
1.37.18.245,dead
1.37.18.246,dead
1.37.22.26,dead
1.37.23.2,dead
1.37.23.5,dead
1.37.23.6,dead
1.37.26.183,dead
1.37.28.1,dead
1.37.28.10,dead
1.37.28.13,dead
1.37.28.21,dead
1.37.28.22,dead
1.37.28.25,dead
1.37.28.26,dead
1.37.28.29,dead
1.37.28.30,dead
1.37.28.45,dead
1.37.28.46,dead
1.37.28.49,dead
1.37.28.50,dead
1.37.28.73,dead
1.37.28.74,dead
1.37.28.81,dead
1.37.28.82,dead
1.37.28.89,dead
1.37.28.90,dead
1.37.28.93,dead
1.37.28.97,dead
1.37.28.98,dead
1.37.28.101,dead
1.37.28.102,dead
1.37.28.105,dead
1.37.28.106,dead
1.37.28.109,dead
1.37.28.110,dead
1.37.28.121,dead
1.37.28.122,dead
1.37.28.125,dead
1.37.28.126,dead
1.37.28.133,dead
1.37.28.134,dead
1.37.28.141,dead
1.37.28.142,dead
1.37.28.150,dead
1.37.28.153,dead
1.37.28.154,dead
1.37.28.161,dead
1.37.28.162,dead
1.37.29.133,dead
1.37.29.134,dead
1.37.29.177,dead
1.37.30.161,dead
1.37.30.162,dead
1.37.30.177,dead
1.37.30.250,dead
1.37.31.166,dead
1.37.31.173,dead
1.37.33.49,dead
1.37.33.50,dead
1.37.33.54,dead
1.37.33.153,dead
1.37.33.154,dead
1.37.33.177,dead
1.37.33.178,dead
1.37.33.186,dead
1.37.33.194,dead
1.37.34.49,dead
1.37.34.169,dead
1.37.34.189,dead
1.37.34.190,dead
1.37.35.1,dead
1.37.35.57,dead
1.37.35.58,dead
1.37.35.59,dead
1.37.35.65,dead
1.37.35.66,dead
1.37.35.70,dead
1.37.35.74,dead
1.37.35.98,dead
1.37.35.101,dead
1.37.35.102,dead
1.37.35.109,dead
1.37.35.110,dead
1.37.35.113,dead
1.37.35.114,dead
1.37.35.124,dead
1.37.35.125,dead
1.37.35.127,dead
1.37.42.97,dead
1.37.42.193,dead
1.37.42.225,dead
1.37.65.65,dead
1.37.65.97,dead
1.37.65.98,dead
1.37.68.1,dead
1.37.68.129,dead
1.37.69.1,dead
1.37.69.233,dead
1.37.69.241,dead
1.37.69.242,dead
1.37.69.245,dead
1.37.69.246,dead
1.37.69.249,dead
1.37.69.250,dead
1.37.69.253,dead
1.37.69.254,dead
1.37.73.4,dead
1.37.73.9,dead
1.37.73.10,dead
1.37.73.13,dead
1.37.73.14,dead
1.37.73.25,dead
1.37.73.26,dead
1.37.73.29,dead
1.37.73.30,dead
1.37.73.37,dead
1.37.73.38,dead
1.37.73.41,dead
1.37.73.42,dead
1.37.73.45,dead
1.37.73.46,dead
1.37.73.200,dead
1.37.73.201,dead
1.37.73.203,dead
1.37.73.205,dead
1.37.73.206,dead
1.37.73.208,dead
1.37.73.209,dead
1.37.73.211,dead
